id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17668748,Brand new bachelor apartment in Toronto!,69450805,Rahwa,,York University Heights,43.74863599,-79.49081405,Entire home/apt,76,2,24,5/19/2017,9.23,1,30
16162206,"Large sunny bedroom, 3d floor (3A)",12846807,Victoria,,York University Heights,43.76557254,-79.49294267,Private room,76,2,0,,,4,306
6625373,(1) Cozy & Comfortable w/ En-suite Bath,24346665,Shanny,,York University Heights,43.76961527,-79.50117694,Private room,58,2,47,5/14/2017,1.98,8,294
14915136,Huge 1 bed 2 bath with everything you need.,93706332,Oren,,York University Heights,43.7505052,-79.4650556,Entire home/apt,120,2,11,4/16/2017,1.22,1,29
11572314,"York University Village, Toronto",44619526,Sigang,,York University Heights,43.77000974,-79.50092743,Shared room,26,10,0,,,3,338
7859654,"Sunny Rooms w/pvt. bath, minifridge",40821346,Y,,York University Heights,43.76640296,-79.49653112,Private room,45,1,1,5/4/2016,0.08,1,0
6849285,(5) Comfy Room near York University Toronto,24346665,Shanny,,York University Heights,43.76957713,-79.50047691,Private room,39,3,12,5/13/2017,0.69,8,164
12980628,Private room beside york university,44098156,Jay,,York University Heights,43.76628321,-79.49942503,Private room,49,5,8,4/21/2017,0.63,5,365
16518220,"Cozy townhouse bedroom, 2d floor, York University",12846807,Victoria,,York University Heights,43.76634508,-79.49209407,Private room,70,7,0,,,4,337
18253565,"room only , no kitchen",43488381,Runying,,York University Heights,43.76903257,-79.49556102,Private room,42,1,7,5/28/2017,5.83,10,363
18022512,Room at York U for 7 days up,43488381,Runying,,York University Heights,43.76678208,-79.50332603,Private room,32,1,3,5/1/2017,2.05,10,364
17956509,Scoop up this Beaches Bachelor Pad!,123223170,Meray,,The Beaches,43.67248846,-79.29964459,Private room,78,1,10,5/29/2017,10,1,78
18970777,Retro artistic place in Beaches,132302130,John,,The Beaches,43.67218263,-79.28295346,Private room,41,1,0,,,1,88
5637391,Bright room with skylight in Beach Century Home,3569171,Jillian,,The Beaches,43.67940697,-79.28740229,Private room,50,1,1,3/17/2017,0.38,2,298
5386570,Come and stay in The Beach!,27923833,Daniel,,The Beaches,43.67719025,-79.29991898,Private room,57,4,29,4/30/2017,1.15,1,61
6912820,Large cozy bedroom with parking,10827057,Brianne,,The Beaches,43.66900999,-79.30289612,Private room,69,1,24,5/31/2017,2.8,1,1
14413653,Beaches basement apartment,28417805,Paolo,,The Beaches,43.67497727,-79.30514486,Private room,95,2,1,1/4/2017,0.2,1,338
17136599,Bedroom on the Beach,30385972,Olya,,The Beaches,43.66921589,-79.29023917,Private room,51,2,2,5/29/2017,0.61,1,53
9328245,1 room in a 2 storey apt.,48414425,Carl,,The Beaches,43.67145209,-79.29805328,Private room,45,1,0,,,1,0
18833651,Artists studio,95013716,Winona,,The Beaches,43.67055532,-79.30673265,Private room,59,3,0,,,1,60
2248986,"Rm.Sgl Bed.1min-QueenSt,5 min-Beach",6884061,Roberta,,The Beaches,43.67463993,-79.28916087,Private room,55,2,16,9/14/2016,0.4,4,365
16054155,Cosy Beaches Condo ❤️️,1120348,Manny,,The Beaches,43.67335826,-79.28732941,Private room,72,2,2,1/1/2017,0.38,1,276
5637397,"Bright, Quiet Room in Beach Century Home",3569171,Jillian,,The Beaches,43.67752334,-79.28924704,Private room,55,1,2,1/3/2017,0.33,2,332
2124858,"Rm.Qn Bed.1 min-QueenSt,5 min-Beach",6884061,Roberta,,The Beaches,43.675332,-79.28727325,Private room,59,2,23,9/5/2016,0.61,4,275
2615254,"Rm.Dbl Bed.1 min-QueenSt,5min-Beach",6884061,Roberta,,The Beaches,43.67412697,-79.2886733,Private room,59,2,17,1/1/2017,0.46,4,337
3929800,House in the Friendly Beaches,20358640,Jeana,,The Beaches,43.67235732,-79.30546951,Private room,85,3,1,5/31/2017,1,2,354
4129258,BEACHES WATERFRONT ONE BEDROOM,13932855,Pamela,,The Beaches,43.66696414,-79.30552414,Private room,126,10,0,,,1,0
8189495,Beach Beautiful Studio Apartment,43198035,Katya,,The Beaches,43.66721283,-79.30529293,Private room,99,3,6,11/15/2016,0.35,2,331
12571298,Big bedroom in the Beautiful Beaches!,68146278,Andrew,,The Beaches,43.67126121,-79.30223756,Private room,55,1,27,10/28/2016,2,1,364
7067539,HappyBeachHome,20358640,Jeana,,The Beaches,43.6734916,-79.30614304,Private room,45,2,1,6/1/2017,1,2,88
16333591,"Big, bright bedroom, heart of Toronto Beaches",12516644,Kathryn,,The Beaches,43.66965765,-79.29451509,Private room,93,1,1,3/18/2017,0.38,4,89
5719836,"Cozy, Private Room Close To Beach! ",3053042,Yanella,,The Beaches,43.66853423,-79.29290922,Private room,59,2,9,12/13/2016,0.35,1,365
7948668,PRIME BEACH MAIN FLOOR OF HOUSE,41916653,Tod,,The Beaches,43.67177887,-79.28344242,Private room,95,1,0,,,1,0
16332998,"Another Bright bedroom, heart of Toronto Beaches!",12516644,Kathryn,,The Beaches,43.66874063,-79.29268089,Private room,80,1,0,,,4,89
387957,"Escape,to your home away from home!",1941221,Jeanalexis,,The Beaches,43.67286392,-79.30673456,Private room,70,2,2,8/3/2016,0.19,3,88
8442686,Nice Bedroom w/Queen - Plus Sunroom,44450561,Gallia,,The Beaches,43.67653732,-79.29858774,Private room,80,3,0,,,3,49
13139555,Private open concept Beach Studio steps to Lake,6726307,Carlos & Mari,,The Beaches,43.67016092,-79.28924017,Entire home/apt,86,1,77,6/1/2017,6.23,1,319
12469602,Peaceful Retreat by the Beach,14749364,Vivian,,The Beaches,43.6702983,-79.29067625,Entire home/apt,120,3,22,6/2/2017,1.68,3,334
14273139,Great 1BR Unit in the Beaches!,84584477,Estee,,The Beaches,43.67204613,-79.29749574,Entire home/apt,99,2,13,5/20/2017,1.31,3,323
13731811,The Beach is on your doorstep! Private suite.,80330264,Benedict,,The Beaches,43.66842472,-79.29673641,Entire home/apt,109,1,30,5/23/2017,2.69,1,132
4566721,Stylish Beach Townhome,23671949,Karen,,The Beaches,43.67501957,-79.28703181,Entire home/apt,150,4,13,4/18/2017,0.57,1,318
15051450,Cozy 1 bedroom beach apartment close to everything,94489398,Diane,,The Beaches,43.67463039,-79.29742038,Entire home/apt,78,1,1,6/1/2017,1,1,150
8206165,House in the Beaches,303615,Bill,,The Beaches,43.6704056,-79.3029367,Entire home/apt,300,2,6,8/25/2016,0.55,2,28
6434012,Beaches Upper Floor House,33583560,Jonathan,,The Beaches,43.67029018,-79.29159483,Entire home/apt,138,1,11,9/5/2016,0.45,1,0
18133874,Cozy Beaches Apartment,28393914,Jen,,The Beaches,43.67031765,-79.29304814,Entire home/apt,200,1,0,,,1,173
13771490,Cozy  Apartment in the Beaches!,29895706,Pamela & Pedro!,,The Beaches,43.67233848,-79.29084034,Entire home/apt,91,2,8,10/19/2016,0.79,1,0
5463654,Spacious Studio with Grand Balcony,13808734,Semone,,The Beaches,43.66840168,-79.30376309,Entire home/apt,100,5,8,5/8/2017,0.31,4,57
