room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12410022,19537956,Shared room,,Waterfront Communities-The Island (77),0,0.0,2,1.0,52.0,,43.644789,-79.390252,2017-03-12 20:49:27.605944
9215523,33964200,Shared room,,Willowdale East (51),0,0.0,1,1.0,46.0,,43.759997,-79.408357,2017-03-12 20:49:27.603638
17511269,4574786,Shared room,,Church-Yonge Corridor (75),0,0.0,2,1.0,54.0,,43.65518,-79.379926,2017-03-12 20:49:27.600261
8168903,43113897,Shared room,,Casa Loma (96),0,0.0,1,1.0,58.0,,43.685054,-79.408889,2017-03-12 20:49:27.597463
13997389,83610525,Shared room,,Mount Pleasant West (104),0,0.0,1,1.0,61.0,,43.707112,-79.395127,2017-03-12 20:49:27.595220
17185023,115570888,Shared room,,Humbermede (22),0,0.0,2,1.0,58.0,,43.748829,-79.538588,2017-03-12 20:49:27.592873
14929781,93875408,Shared room,,Waterfront Communities-The Island (77),3,5.0,1,1.0,49.0,,43.641603,-79.392179,2017-03-12 20:49:27.590355
16042270,12406906,Shared room,,Waterfront Communities-The Island (77),2,0.0,2,1.0,48.0,,43.645681,-79.392304,2017-03-12 20:49:27.588141
8168525,7668155,Shared room,,Caledonia-Fairbank (109),0,0.0,1,1.0,58.0,,43.684594,-79.454688,2017-03-12 20:49:27.585531
17592760,81485952,Shared room,,Taylor-Massey (61),1,0.0,2,1.0,42.0,,43.693495,-79.299111,2017-03-12 20:49:27.583443
14417955,12495313,Shared room,,Church-Yonge Corridor (75),0,0.0,1,1.0,52.0,,43.654041,-79.375727,2017-03-12 20:49:27.579252
14051969,7953406,Shared room,,Waterfront Communities-The Island (77),35,4.5,2,1.0,46.0,,43.642639,-79.382618,2017-03-12 20:49:27.574969
14116577,84901826,Shared room,,Waterfront Communities-The Island (77),25,5.0,1,1.0,42.0,,43.641091,-79.382568,2017-03-12 20:49:27.571669
14102173,80588076,Shared room,,Morningside (135),1,0.0,1,1.0,16.0,,43.78607,-79.196262,2017-03-12 20:49:25.396866
11436560,31554886,Shared room,,Waterfront Communities-The Island (77),0,0.0,12,1.0,23.0,,43.623045,-79.361434,2017-03-12 20:49:25.393815
9648167,143460,Shared room,,Niagara (82),1,0.0,1,1.0,31.0,,43.640253,-79.414157,2017-03-12 20:49:25.391048
14070024,25389259,Shared room,,Waterfront Communities-The Island (77),12,5.0,1,1.0,32.0,,43.645731,-79.391561,2017-03-12 20:49:25.387414
15661553,10323838,Shared room,,Bay Street Corridor (76),3,5.0,2,1.0,37.0,,43.646676,-79.385641,2017-03-12 20:49:24.380164
9739811,50047928,Shared room,,Don Valley Village (47),0,0.0,2,1.0,31.0,,43.787407,-79.365414,2017-03-12 20:49:24.378280
3457807,3082565,Shared room,,Dufferin Grove (83),6,5.0,1,1.0,27.0,,43.66079,-79.430147,2017-03-12 20:49:24.375673
13006818,13964683,Shared room,,Newtonbrook East (50),0,0.0,2,1.0,34.0,,43.781135,-79.412004,2017-03-12 20:49:24.373375
10970420,55296043,Shared room,,Kensington-Chinatown (78),0,0.0,1,1.0,26.0,,43.653141,-79.390161,2017-03-12 20:49:24.367179
10615015,10060235,Shared room,,Don Valley Village (47),0,0.0,1,1.0,20.0,,43.777501,-79.349064,2017-03-12 20:49:24.364388
14094245,82513185,Shared room,,Willowdale West (37),2,0.0,1,1.0,25.0,,43.773085,-79.414078,2017-03-12 20:49:24.358008
9770678,46069619,Shared room,,Caledonia-Fairbank (109),4,4.5,1,1.0,20.0,,43.687141,-79.448457,2017-03-12 20:49:24.352401
12535525,67912447,Shared room,,Church-Yonge Corridor (75),13,4.5,2,1.0,38.0,,43.659906,-79.38003,2017-03-12 20:49:24.349715
14696040,10154821,Shared room,,Willowdale East (51),7,5.0,1,1.0,20.0,,43.770377,-79.410786,2017-03-12 20:49:24.346528
14298347,80588076,Shared room,,Morningside (135),0,0.0,1,1.0,16.0,,43.787937,-79.195982,2017-03-12 20:49:22.625906
9610404,41290214,Shared room,,Bay Street Corridor (76),0,0.0,1,1.0,38.0,,43.669049,-79.38847,2017-03-12 20:49:22.618911
16069289,92986133,Shared room,,Taylor-Massey (61),2,0.0,1,1.0,18.0,,43.694805,-79.291424,2017-03-12 20:49:22.616208
11180488,58184148,Shared room,,Niagara (82),0,0.0,1,1.0,31.0,,43.642393,-79.404476,2017-03-12 20:49:22.613960
8752500,45904649,Shared room,,Bendale (127),1,0.0,1,1.0,27.0,,43.769825,-79.251111,2017-03-12 20:49:22.611355
14232592,80588076,Shared room,,Morningside (135),1,0.0,1,1.0,16.0,,43.78767,-79.196593,2017-03-12 20:49:22.607598
5771714,29943032,Shared room,,Waterfront Communities-The Island (77),13,5.0,1,1.0,40.0,,43.641224,-79.381537,2017-03-12 20:49:22.605053
17576119,45237656,Shared room,,Taylor-Massey (61),0,0.0,8,1.0,20.0,,43.692592,-79.301459,2017-03-12 20:49:22.599781
3796954,7421135,Shared room,,Annex (95),9,3.5,4,1.0,34.0,,43.667448,-79.400603,2017-03-12 20:49:22.597710
